PRODUCT_ID,DEPARTMENT,dunn_name,dunn_ingredients,nut_name,nut_ingredients,cholesterol,energy,fatty acids total monounsaturated,fatty acids total polyunsaturated,fatty acids total saturated,fiber,protein,sodium,sugars,total lipid,vitamin a,vitamin b-12,vitamin b-6,vitamin e,vitamin k
1319024,GROCERY,DRY MIX DESSERTS SOFT DRINK POWDER POUCHES,"['soft', 'drink', 'powder']","Fruit flavored drink, powdered, reconstituted","['fruit', 'flavor', 'drink', 'powder', 'reconstitut']",0.0,25.0,0.009000000000000001,0.036000000000000004,0.012,0.0,0.0,12.0,6.5,0.07,0.0,0.0,0.0,0.0,0.1
33548,GROCERY,ISOTONIC DRINKS ISOTONIC DRINKS POWDERED,"['isoton', 'drink', 'powder']","Fruit flavored drink, powdered, reconstituted","['fruit', 'flavor', 'drink', 'powder', 'reconstitut']",0.0,25.0,0.009000000000000001,0.036000000000000004,0.012,0.0,0.0,12.0,6.5,0.07,0.0,0.0,0.0,0.0,0.1
43189,GROCERY,PWDR/CRYSTL DRNK MX SOFT DRINK POWDER POUCHES,"['soft', 'drink', 'powder']","Fruit flavored drink, powdered, reconstituted","['fruit', 'flavor', 'drink', 'powder', 'reconstitut']",0.0,25.0,0.009000000000000001,0.036000000000000004,0.012,0.0,0.0,12.0,6.5,0.07,0.0,0.0,0.0,0.0,0.1
10203225,GROCERY,TEAS SOFT DRINK POWDER POUCHES,"['soft', 'drink', 'powder']","Fruit flavored drink, powdered, reconstituted","['fruit', 'flavor', 'drink', 'powder', 'reconstitut']",0.0,25.0,0.009000000000000001,0.036000000000000004,0.012,0.0,0.0,12.0,6.5,0.07,0.0,0.0,0.0,0.0,0.1
872826,GROCERY,CANNED JUICES TOMATO JUICE (50% AND UNDER),"['tomato', 'juic']","Tomato juice, 100%","['tomato', 'juic']",0.0,17.0,0.005,0.027000000000000003,0.019,0.4,0.85,253.0,2.58,0.29,23.0,0.0,0.07,0.0,2.3
29512,GROCERY,CANNED JUICES TOMATO JUICE (OVER 50% JCE),"['tomato', 'juic', 'jce']","Tomato juice, 100%","['tomato', 'juic']",0.0,17.0,0.005,0.027000000000000003,0.019,0.4,0.85,253.0,2.58,0.29,23.0,0.0,0.07,0.0,2.3
1059820,GROCERY,CANNED JUICES VEG JUICE (EXCEPT TOMATO) (50%,"['veg', 'juic', 'except', 'tomato']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
611600,GROCERY,CANNED JUICES VEG JUICE (EXCEPT TOMATO) (OVE,"['veg', 'juic', 'except', 'tomato', 'ove']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
254038,PRODUCE,TOMATOES ROMA TOMATOES (BULK/PKG),"['roma', 'tomato']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
536418,PRODUCE,TOMATOES TOMATOES CHERRY,"['tomato', 'cherri']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
643987,PRODUCE,TOMATOES TOMATOES GRAPE,"['tomato', 'grape']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
170997,PRODUCE,TOMATOES TOMATOES HOTHOUSE ON THE VINE,"['tomato', 'hothous', 'vine']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
197681,PRODUCE,TOMATOES TOMATOES VINE RIPE BULK,"['tomato', 'vine', 'ripe']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
396569,PRODUCE,TOMATOES TOMATOES VINE RIPE PKG,"['tomato', 'vine', 'ripe']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
961590,PRODUCE,TOMATOES TOMATOES-OTHER,['tomato'],"Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
1766903,FROZEN GROCERY,UNKNOWN ROMA TOMATOES (BULK/PKG),"['roma', 'tomato']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
923751,PRODUCE,VEGETABLES - ALL OTHERS TOMATOES-OTHER,['tomato'],"Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
50032,GROCERY,VEGETABLES - SHELF STABLE TOMATO PASTE,"['tomato', 'past']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
81724,GROCERY,VEGETABLES - SHELF STABLE TOMATO PUREE & ASPIC,"['tomato', 'pure', 'aspic']","Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
34484,GROCERY,VEGETABLES - SHELF STABLE TOMATOES WHOLE,['tomato'],"Tomatoes, raw",['tomato'],0.0,18.0,0.031,0.083,0.027999999999999997,1.2,0.88,5.0,2.63,0.2,42.0,0.0,0.08,0.0,7.9
