,COMMODITY_DESC,SUB_COMMODITY_DESC,SALES_VALUE,QUANTITY
208,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,13986.869999998804,12504
362,BEEF,LEAN,43382.649999999645,12343
337,BEANS - CANNED GLASS & MW,VARIETY BEANS - KIDNEY PINTO,9311.999999999734,12343
815,CITRUS,ORANGES NAVELS ALL,9515.889999999852,12126
2924,POTATOES,POTATOES RUSSET (BULK&BAG),27818.840000003365,12076
2199,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,16421.599999999424,11823
1287,EGGS,EGGS - X-LARGE,12541.470000000054,11639
1541,FLUID MILK PRODUCTS,CHOCOLATE MILK,16205.210000000121,11230
1649,FROZEN PIZZA,SANDWICHES&HANDHELDS,22547.58999999976,11113
679,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,25671.280000000424,10974
3525,SUGARS/SWEETNERS,SUGAR,20174.430000000706,10843
3866,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,24994.250000002827,10744
3364,SPICES & EXTRACTS,SPICES & SEASONINGS,22418.070000000604,10679
469,BREAKFAST SWEETS,SW GDS:DONUTS,11372.30999999983,10623
209,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,10992.3599999996,10445
401,BERRIES,STRAWBERRIES,23745.840000000862,10367
2542,MILK BY-PRODUCTS,COTTAGE CHEESE,17879.729999999843,10264
704,CHICKEN,CHICKEN BREAST BONELESS,39349.109999999986,10184
2481,MARGARINES,MARGARINE: TUBS AND BOWLS,17533.069999999992,10154
992,CORN,CORN YELLOW,3056.8600000000074,10122
593,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,19490.790000000874,10033
1238,DRY BN/VEG/POTATO/RICE,RICE SIDE DISH MIXES DRY,12007.809999999987,9968
3797,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,8414.599999999984,9912
3316,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,26484.69000000202,9884
2546,MILK BY-PRODUCTS,SOUR CREAMS,12816.899999999905,9881
874,COLD CEREAL,ADULT CEREAL,28504.10000000088,9857
558,CANDY - PACKAGED,CANDY BARS (MULTI PACK),11578.22999999994,9788
2375,LUNCHMEAT,LUNCH COMBO,17328.4999999999,9556
229,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,19817.820000000218,9554
1657,FRUIT - SHELF STABLE,FRUIT BOWL AND CUPS,17146.989999999765,9534
